epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.1279,0.67922,1.5082,1.03716,0.54813,0.80553,0.61728,0.47685,0.99806,1.57004,1.24751,0.000553529,0.000553529,0.000553529
2,89.1026,0.5863,0.93283,0.95241,0.608,0.7224,0.66706,0.47885,1.08156,1.33088,1.27419,0.00108723,0.00108723,0.00108723
3,127.155,0.56931,0.74688,0.94113,0.63464,0.70429,0.73505,0.55391,1.00188,1.36963,1.2498,0.00159893,0.00159893,0.00159893
4,166.002,0.54603,0.63278,0.93735,0.72696,0.7905,0.83645,0.6703,0.89166,0.96627,1.15874,0.00156798,0.00156798,0.00156798
5,206.83,0.51156,0.54799,0.92511,0.70923,0.75375,0.79548,0.60335,1.02862,1.09256,1.25746,0.00153497,0.00153497,0.00153497
6,251.825,0.52112,0.51023,0.92984,0.79389,0.8273,0.86934,0.68026,0.89707,0.93233,1.15749,0.00150197,0.00150197,0.00150197
7,298.934,0.48809,0.49344,0.91565,0.80197,0.81731,0.8718,0.69932,0.87637,0.83959,1.12374,0.00146896,0.00146896,0.00146896
8,343.711,0.46768,0.46751,0.90729,0.78105,0.82098,0.87042,0.70345,0.8753,0.85488,1.1501,0.00143595,0.00143595,0.00143595
9,391.832,0.45853,0.43924,0.90451,0.80726,0.8512,0.90198,0.74433,0.81146,0.81572,1.11655,0.00140295,0.00140295,0.00140295
10,437.546,0.45818,0.43009,0.91035,0.84931,0.81769,0.89989,0.73668,0.82894,0.78267,1.12247,0.00136994,0.00136994,0.00136994
11,483.111,0.44708,0.41113,0.90288,0.83613,0.81386,0.87835,0.71969,0.79044,0.77081,1.11187,0.00133693,0.00133693,0.00133693
12,527.978,0.43264,0.39265,0.89601,0.88841,0.86554,0.92857,0.7598,0.76124,0.6882,1.0772,0.00130393,0.00130393,0.00130393
13,573.618,0.42415,0.38213,0.89512,0.90349,0.8136,0.91673,0.75132,0.78198,0.72054,1.08801,0.00127092,0.00127092,0.00127092
14,617.978,0.42853,0.36956,0.89073,0.88076,0.83422,0.92883,0.76654,0.79797,0.66509,1.09654,0.00123791,0.00123791,0.00123791
15,662.858,0.41917,0.36677,0.89444,0.92352,0.86044,0.94019,0.78614,0.76084,0.60207,1.06808,0.00120491,0.00120491,0.00120491
16,708.385,0.40732,0.35354,0.88954,0.90956,0.80954,0.93058,0.7761,0.77506,0.64022,1.0903,0.0011719,0.0011719,0.0011719
17,753.461,0.40401,0.34237,0.89009,0.90212,0.86582,0.92894,0.77003,0.75018,0.67182,1.07701,0.00113889,0.00113889,0.00113889
18,798.268,0.40845,0.35359,0.89348,0.85915,0.87373,0.93249,0.78319,0.71406,0.62594,1.04251,0.00110589,0.00110589,0.00110589
19,843.027,0.39783,0.3332,0.88168,0.93358,0.85455,0.95065,0.79735,0.7405,0.56328,1.06986,0.00107288,0.00107288,0.00107288
20,887.882,0.39401,0.34744,0.89067,0.9043,0.8864,0.95392,0.80501,0.70634,0.57732,1.04452,0.00103987,0.00103987,0.00103987
21,932.193,0.382,0.32682,0.88179,0.93158,0.84115,0.94581,0.78982,0.77018,0.59924,1.08639,0.00100687,0.00100687,0.00100687
22,976.338,0.37859,0.32087,0.88019,0.93395,0.89143,0.95833,0.81197,0.70393,0.53486,1.03831,0.000973861,0.000973861,0.000973861
23,1021.17,0.38036,0.31147,0.87995,0.95725,0.85676,0.9487,0.8043,0.70878,0.55455,1.05314,0.000940855,0.000940855,0.000940855
24,1065.37,0.37368,0.31161,0.88084,0.88881,0.87964,0.94763,0.79603,0.74309,0.57222,1.06363,0.000907848,0.000907848,0.000907848
25,1109.81,0.37042,0.30978,0.87512,0.91703,0.91347,0.96008,0.81351,0.70754,0.50195,1.04327,0.000874842,0.000874842,0.000874842
26,1154.11,0.36483,0.29781,0.87508,0.94838,0.90276,0.96558,0.82395,0.67566,0.47791,1.01331,0.000841835,0.000841835,0.000841835
27,1197.8,0.37019,0.2952,0.87332,0.94007,0.92459,0.97185,0.8245,0.68668,0.47791,1.02746,0.000808828,0.000808828,0.000808828
28,1245.32,0.34878,0.29205,0.87282,0.91638,0.92823,0.96782,0.82413,0.70033,0.48896,1.04229,0.000775822,0.000775822,0.000775822
29,1289.87,0.35305,0.2836,0.86905,0.88532,0.90386,0.96255,0.82045,0.67975,0.55105,1.02068,0.000742815,0.000742815,0.000742815
30,1334.45,0.35871,0.29811,0.87383,0.92969,0.9045,0.96798,0.83688,0.6549,0.47941,1.00863,0.000709809,0.000709809,0.000709809
31,1378.83,0.34464,0.28085,0.86713,0.93672,0.92019,0.96868,0.83435,0.6623,0.47583,1.01622,0.000676802,0.000676802,0.000676802
32,1422.9,0.34407,0.27231,0.86682,0.90362,0.93943,0.96836,0.84464,0.63588,0.4712,0.99498,0.000643795,0.000643795,0.000643795
33,1467.35,0.33738,0.27078,0.87144,0.95204,0.9026,0.96799,0.84701,0.61859,0.44821,0.99568,0.000610789,0.000610789,0.000610789
34,1511.78,0.33169,0.27002,0.86426,0.93512,0.94564,0.97774,0.85335,0.6252,0.42324,0.98722,0.000577782,0.000577782,0.000577782
35,1555.73,0.33437,0.26004,0.86407,0.95482,0.95047,0.97645,0.85529,0.62616,0.42545,0.98811,0.000544776,0.000544776,0.000544776
36,1599.55,0.32464,0.25436,0.86362,0.9439,0.9375,0.9737,0.84907,0.63244,0.43772,0.99736,0.000511769,0.000511769,0.000511769
37,1643.38,0.326,0.25255,0.86707,0.95522,0.95151,0.98049,0.8553,0.6242,0.40639,0.98843,0.000478762,0.000478762,0.000478762
38,1687.89,0.32627,0.25769,0.86439,0.94728,0.92078,0.97825,0.8506,0.62122,0.43346,0.99092,0.000445756,0.000445756,0.000445756
39,1731.7,0.31541,0.24991,0.85739,0.93754,0.94356,0.97921,0.85807,0.62027,0.4115,0.99604,0.000412749,0.000412749,0.000412749
40,1776.47,0.31597,0.25122,0.86197,0.96149,0.92411,0.98106,0.86741,0.59995,0.39779,0.9766,0.000379743,0.000379743,0.000379743
41,1918.79,0.61337,0.4402,0.99307,0.96764,0.95186,0.98299,0.86689,0.59323,0.37068,0.97589,0.000346736,0.000346736,0.000346736
42,1963.93,0.57665,0.38765,0.96743,0.9715,0.96169,0.98655,0.8717,0.59795,0.35227,0.96879,0.000313729,0.000313729,0.000313729
43,2008.71,0.56274,0.36943,0.96006,0.96903,0.94697,0.98457,0.87624,0.58124,0.356,0.96049,0.000280723,0.000280723,0.000280723
44,2054.4,0.54942,0.36466,0.95808,0.96489,0.94043,0.98166,0.87468,0.56743,0.36538,0.96029,0.000247716,0.000247716,0.000247716
45,2115.02,0.5306,0.35294,0.94337,0.96404,0.96619,0.98385,0.88102,0.56564,0.34537,0.95966,0.00021471,0.00021471,0.00021471
46,2159.15,0.52976,0.33144,0.94206,0.96582,0.96634,0.98612,0.88836,0.55843,0.33789,0.95531,0.000181703,0.000181703,0.000181703
47,2203.29,0.51154,0.32486,0.93144,0.97092,0.96562,0.98641,0.88977,0.54983,0.32784,0.94504,0.000148696,0.000148696,0.000148696
48,2247.26,0.50265,0.30949,0.92764,0.9708,0.97067,0.98777,0.89111,0.54561,0.32527,0.94481,0.00011569,0.00011569,0.00011569
49,2290.02,0.49543,0.31206,0.91901,0.97417,0.97418,0.98938,0.89766,0.53481,0.31405,0.93854,8.26832e-05,8.26832e-05,8.26832e-05
50,2333.43,0.48448,0.30139,0.91799,0.97491,0.96816,0.98838,0.89568,0.53655,0.31182,0.93783,4.96766e-05,4.96766e-05,4.96766e-05
